DATE,CSUSHPISA,UNRATE,GDP,CPI,Interest,Working Population,Housing subsidies,"Personal,Income",Urban Population,CONS PRICE
2001-07-01,113.491,4.6,16591.33333,2.4350411076885496,2.52836744,181614328.81665295,1.714416667,9014.6,225792302.0,143.4
2001-08-01,114.167,4.9,16591.33333,3.80544284558475,2.33436142,181828452.476108,1.714416667,9001.4,225792302.0,143.3
2001-09-01,114.812,5.0,16591.33333,2.78250757475318,2.17776797,182056480.622264,1.714416667,8975.3,225792302.0,143.0
2001-10-01,115.31,5.3,16594.33333,4.18407658200821,1.98693245,182236635.463239,1.714416667,8987.3,225792302.0,142.3
2001-11-01,115.857,5.5,16594.33333,3.4431714115967296,1.81476553,182430585.042328,1.714416667,8985.1,225792302.0,142.1
2001-12-01,116.455,5.7,16594.33333,2.47528603199942,2.0405763,182641878.738253,1.714416667,8990.7,225792302.0,141.7
2002-01-01,117.144,5.7,16697.0,2.7615896715014903,2.52349996,182566431.891724,2.01525,9015.6,228400290.0,142.0
2002-02-01,117.845,5.7,16697.0,3.38352407504046,2.40007343,182798390.110259,2.01525,9031.9,228400290.0,142.2
2002-03-01,118.687,5.7,16697.0,2.8726214230371,2.42129018,183078312.425159,2.01525,9050.7,228400290.0,143.2
2002-04-01,119.611,5.9,16762.0,2.67648214481753,2.70112632,183260453.015323,2.01525,9099.9,228400290.0,143.5
2002-05-01,120.724,5.8,16762.0,2.42019843819257,2.35054993,183508212.496981,2.01525,9131.0,228400290.0,143.8
2002-06-01,121.813,5.8,16762.0,2.5025331988713,2.31986391,183669058.444073,2.01525,9164.8,228400290.0,144.3
2002-07-01,122.888,5.8,16787.33333,2.24505523113134,2.14192855,183886883.515181,2.01525,9157.5,228400290.0,144.7
2002-08-01,123.83,5.7,16787.33333,2.28572177593909,1.74226259,184159563.752198,2.01525,9175.3,228400290.0,145.1
2002-09-01,124.78,5.7,16787.33333,2.71779789775748,1.44610825,184422418.039234,2.01525,9197.1,228400290.0,145.4
2002-10-01,125.735,5.7,16767.33333,2.31390307533894,1.26869564,184554225.96952,2.01525,9229.6,228400290.0,145.0
2002-11-01,126.67,5.9,16767.33333,1.9109760074518305,1.39558681,184744733.237442,2.01525,9258.8,228400290.0,144.6
2002-12-01,127.624,6.0,16767.33333,3.01261428455382,1.69225366,184860046.150508,2.01525,9288.3,228400290.0,144.3
2003-01-01,128.461,5.8,16820.66667,2.18139042769816,1.48820174,185635346.37315,2.160833333,9290.1,230876596.0,144.4
2003-02-01,129.355,5.9,16820.66667,1.9758302344968104,1.466379,185869692.256356,2.160833333,9296.2,230876596.0,145.2
2003-03-01,130.148,5.9,16820.66667,1.12621180925949,1.22359095,186085118.209936,2.160833333,9333.8,230876596.0,145.2
2003-04-01,130.884,6.0,16932.0,0.553036890472014,1.30961847,186470753.987361,2.160833333,9356.4,230876596.0,145.9
2003-05-01,131.735,6.1,16932.0,1.07578818642804,1.37072098,186649077.97267705,2.160833333,9414.4,230876596.0,145.8
2003-06-01,132.649,6.3,16932.0,1.12305963544221,0.90511574,186800679.576504,2.160833333,9455.3,230876596.0,146.1
2003-07-01,133.77700000000002,6.2,17170.66667,2.6710731226571096,1.12868896,187066500.33798295,2.160833333,9491.6,230876596.0,147.0
2003-08-01,134.969,6.1,17170.66667,2.35741426924818,1.75170446,187304009.475925,2.160833333,9538.8,230876596.0,147.2
2003-09-01,136.29399999999998,6.1,17170.66667,2.02226514469577,1.89723825,187538981.253475,2.160833333,9582.5,230876596.0,149.0
2003-10-01,137.531,6.0,17328.66667,2.09586749439761,1.38081936,187738514.819484,2.160833333,9620.4,230876596.0,149.6
2003-11-01,138.79399999999998,5.8,17328.66667,1.1863624116481102,1.71390165,187972351.58827305,2.160833333,9688.2,230876596.0,150.2
2003-12-01,140.179,5.7,17328.66667,1.79882233944806,1.71357266,188136094.87789,2.160833333,9713.2,230876596.0,149.7
2004-01-01,141.64600000000002,5.7,17393.0,2.2200747059839503,1.70195436,187688839.482615,2.26675,9731.8,233532722.0,150.0
2004-02-01,143.192,5.6,17393.0,2.91265455346974,1.57158074,187876003.023031,2.26675,9765.4,233532722.0,153.4
2004-03-01,145.059,5.8,17393.0,2.7344022682197897,1.47016466,188058175.618794,2.26675,9815.8,233532722.0,156.5
2004-04-01,146.593,5.6,17489.66667,2.5383819269539303,1.35814941,188320660.933455,2.26675,9865.8,233532722.0,160.1
2004-05-01,148.186,5.6,17489.66667,3.2174948905270697,1.88324516,188475226.058824,2.26675,9950.0,233532722.0,162.7
2004-06-01,149.85,5.6,17489.66667,2.72493144884725,1.94657611,188689296.34988895,2.26675,9988.4,233532722.0,162.0
2004-07-01,151.338,5.5,17611.66667,1.77113695955513,1.93379862,188839779.735266,2.26675,10033.0,233532722.0,162.2
2004-08-01,152.63299999999998,5.4,17611.66667,2.87323745174035,1.85580269,189070874.198522,2.26675,10078.2,233532722.0,165.9
2004-09-01,154.179,5.4,17611.66667,2.1466349952753,1.48469164,189216972.380313,2.26675,10110.5,233532722.0,167.2
2004-10-01,155.75,5.5,17747.33333,2.6605010937276203,1.6871063,189444450.963992,2.26675,10159.3,233532722.0,165.9
2004-11-01,157.52700000000002,5.4,17747.33333,1.4800663055379,1.60768876,189655307.838414,2.26675,10171.5,233532722.0,165.5
2004-12-01,159.33,5.4,17747.33333,1.91524972608856,1.90953662,189811053.36688295,2.26675,10520.8,233532722.0,166.3
2005-01-01,161.28799999999998,5.3,17906.33333,3.4217591363454103,1.7792759,189990144.46577495,2.30425,10247.0,236200507.0,168.6
2005-02-01,163.344,5.4,17906.33333,3.30400229074104,1.81315912,190144602.89026895,2.30425,10282.7,236200507.0,170.4
2005-03-01,165.812,5.2,17906.33333,1.8971793950121696,1.97934111,190460726.509212,2.30425,10347.9,236200507.0,170.0
2005-04-01,167.50099999999998,5.2,17956.0,2.09647901335652,2.02052684,190466075.803662,2.30425,10412.1,236200507.0,170.0
2005-05-01,169.351,5.1,17956.0,3.16846235161856,1.78986568,190709890.602971,2.30425,10464.1,236200507.0,168.1
2005-06-01,171.19,5.0,17956.0,1.62477538920178,1.66688811,190962474.634275,2.30425,10498.0,236200507.0,167.8
2005-07-01,172.86,5.0,18051.0,3.0286455734746403,1.82002108,191114389.968375,2.30425,10558.3,236200507.0,167.2
2005-08-01,174.442,4.9,18051.0,2.22215620270876,2.00821677,191266452.871752,2.30425,10619.6,236200507.0,165.9
2005-09-01,176.438,5.0,18051.0,4.02470724061161,1.73569017,191438220.909398,2.30425,10687.7,236200507.0,168.9
2005-10-01,178.028,5.0,18105.66667,3.3315751559861897,1.96704484,191655197.459811,2.30425,10767.3,236200507.0,171.6
2005-11-01,179.68,5.0,18105.66667,2.83691194814226,2.07568901,191932856.777771,2.30425,10815.4,236200507.0,172.7
2005-12-01,180.91,4.9,18105.66667,2.20489319920401,2.01834727,192145684.546109,2.30425,10853.1,236200507.0,173.5
2006-01-01,182.321,4.7,18309.0,2.88432186623886,2.06484172,192351175.115582,2.383667,11038.6,238999326.0,177.2
2006-02-01,183.287,4.8,18309.0,2.07202087371556,2.20441278,192542751.521493,2.383667,11102.6,238999326.0,177.7
2006-03-01,184.364,4.7,18309.0,3.08218251360963,2.38362088,192688879.143996,2.383667,11171.8,238999326.0,178.3
2006-04-01,184.329,4.7,18315.0,2.8870316165126,2.35839303,192814750.630729,2.383667,11229.5,238999326.0,179.0
2006-05-01,184.156,4.6,18315.0,4.28816068458393,2.40637015,192912759.185218,2.383667,11251.1,238999326.0,179.9
2006-06-01,183.507,4.6,18315.0,3.19983083499134,2.45080986,193147767.04692295,2.383667,11292.8,238999326.0,180.7
2006-07-01,183.068,4.7,18295.33333,3.05393052415284,2.49634953,193315277.68087,2.383667,11322.1,238999326.0,182.3
2006-08-01,182.594,4.7,18295.33333,4.62137039677921,2.2982861,193456234.309971,2.383667,11346.8,238999326.0,182.6
2006-09-01,182.798,4.5,18295.33333,2.1062637733366696,2.20605719,193556767.582028,2.383667,11383.9,238999326.0,183.3
2006-10-01,183.198,4.4,18405.33333,3.6506970400157694,2.21206207,193703230.089313,2.383667,11417.8,238999326.0,182.3
2006-11-01,183.609,4.5,18405.33333,3.02469916751935,2.1998854,193949729.62242305,2.383667,11479.3,238999326.0,179.8
2006-12-01,184.139,4.4,18405.33333,2.72554654380133,2.12213778,194181587.897399,2.383667,11587.6,238999326.0,179.8
2007-01-01,184.517,4.6,18420.0,2.9644102631689195,2.14807579,194951758.751848,2.459333,11647.1,241795278.0,181.1
2007-02-01,184.598,4.5,18420.0,4.4470256400193495,2.28715091,195126741.73179305,2.459333,11734.2,241795278.0,181.5
2007-03-01,184.15,4.4,18420.0,2.6885311218425296,2.0249864,195232594.445134,2.459333,11821.4,241795278.0,182.5
2007-04-01,183.01,4.5,18491.33333,2.36832536836802,2.07748685,195285473.944645,2.459333,11868.1,241795278.0,183.7
2007-05-01,181.6,4.4,18491.33333,2.35349143799752,2.0318442,195378957.753014,2.459333,11908.7,241795278.0,184.0
2007-06-01,180.254,4.6,18491.33333,3.2680317367730405,2.24630973,195626531.991346,2.459333,11929.2,241795278.0,184.0
2007-07-01,179.111,4.7,18549.66667,2.82817098511783,2.37357342,195763504.072784,2.459333,11955.7,241795278.0,184.2
2007-08-01,178.116,4.6,18549.66667,2.18457280462696,2.13388077,195850812.920352,2.459333,11963.1,241795278.0,183.9
2007-09-01,177.558,4.7,18549.66667,3.7044060077008303,1.94622258,195981075.168908,2.459333,12025.5,241795278.0,183.4
2007-10-01,176.62400000000002,4.7,18619.0,3.43463052089827,1.98911422,196079324.765129,2.459333,12046.8,241795278.0,183.0
2007-11-01,175.14700000000002,4.7,18619.0,3.475359352757,1.82624712,196221924.559695,2.459333,12102.8,241795278.0,183.3
2007-12-01,174.342,5.0,18619.0,2.98265388398264,1.38696881,196456046.63756305,2.459333,12182.7,241795278.0,183.5
2008-01-01,173.132,5.0,18499.0,3.28360527628442,1.39949068,196086885.646281,2.489667,12227.8,244607104.0,184.3
2008-02-01,171.541,4.9,18499.0,2.85747436326564,1.11112286,196234596.966847,2.489667,12264.9,244607104.0,185.7
2008-03-01,170.053,5.1,18499.0,3.0404857461239905,1.02522008,196399720.740184,2.489667,12314.7,244607104.0,187.8
2008-04-01,168.338,5.0,18568.33333,2.24101388446512,1.06289422,196185183.956292,2.489667,12302.6,244607104.0,190.9
2008-05-01,166.65900000000002,5.4,18568.33333,2.4627692895931,1.40051629,196465025.840138,2.489667,12879.3,244607104.0,195.8
2008-06-01,165.017,5.6,18568.33333,4.05370089545272,1.48755401,196572839.950144,2.489667,12661.0,244607104.0,200.4
2008-07-01,163.566,5.8,18426.0,3.98912873927892,1.44558109,196675087.052917,2.489667,12514.8,244607104.0,203.4
2008-08-01,161.987,6.1,18426.0,2.94013128490127,1.35649733,196811699.220529,2.489667,12426.0,244607104.0,206.5
2008-09-01,160.308,6.1,18426.0,3.17438970761372,1.23957472,196983627.413106,2.489667,12445.0,244607104.0,206.3
2008-10-01,158.327,6.5,17980.33333,2.20171024216991,1.48506331,197148227.499098,2.489667,12446.5,244607104.0,201.8
2008-11-01,156.142,6.8,17980.33333,1.93625366578525,1.63162854,197282902.994639,2.489667,12387.1,244607104.0,199.6
2008-12-01,153.619,7.3,17980.33333,0.3634841508005421,0.97537985,197450630.74704,2.489667,12238.5,244607104.0,194.8
2009-01-01,151.507,7.8,17740.33333,2.40364062502632,0.93854104,196957168.078512,2.74025,12125.6,247276259.0,193.3
2009-02-01,150.015,8.3,17740.33333,2.14357605719473,1.03930649,197130254.265795,2.74025,12007.4,247276259.0,191.2
2009-03-01,148.66,8.7,17740.33333,1.90828983085518,1.25074177,197296740.796326,2.74025,11965.3,247276259.0,190.2
2009-04-01,147.94899999999998,9.0,17672.33333,1.86117019943739,0.71281967,197765218.550998,2.74025,12009.4,247276259.0,188.1
2009-05-01,147.694,9.4,17672.33333,1.29376893720741,1.0174109,197891891.901038,2.74025,12179.6,247276259.0,186.9
2009-06-01,148.09,9.5,17672.33333,0.75584590889346,1.32210554,197604115.283094,2.74025,12042.9,247276259.0,187.1
2009-07-01,148.41,9.5,17693.66667,0.125832513392354,1.26690282,197767457.71878,2.74025,11998.4,247276259.0,187.6
2009-08-01,148.278,9.6,17693.66667,1.6255061079099,1.15904037,198115216.55840105,2.74025,12011.2,247276259.0,188.1
2009-09-01,148.025,9.8,17693.66667,0.914369783533586,0.94923764,198362395.499829,2.74025,12061.1,247276259.0,189.3
2009-10-01,147.85,10.0,17843.66667,1.1903654188135,0.99714116,198618566.659451,2.74025,12069.4,247276259.0,189.7
2009-11-01,148.134,9.9,17843.66667,0.516016421313492,1.06141004,198613900.547094,2.74025,12129.6,247276259.0,189.2
2009-12-01,147.929,9.9,17843.66667,0.460810409841406,0.84804056,198622777.171291,2.74025,12188.2,247276259.0,189.4
2010-01-01,147.39600000000002,9.8,17894.33333,0.680110845940707,1.29792486,198064131.621042,2.722417,12267.7,249849720.0,190.3
2010-02-01,145.631,9.8,17894.33333,-0.1066278542679489,1.12451541,198328300.957783,2.722417,12267.6,249849720.0,192.2
2010-03-01,145.859,9.9,17894.33333,-0.286064246298046,0.99873153,198648956.056007,2.722417,12330.9,249849720.0,193.7
2010-04-01,146.403,9.9,18033.33333,0.4526162541784729,1.3091053,199116837.453571,2.722417,12441.8,249849720.0,196.5
2010-05-01,146.394,9.6,18033.33333,0.27574788971958,1.22638786,199225487.91262695,2.722417,12543.7,249849720.0,198.9
2010-06-01,145.721,9.4,18033.33333,1.2647526767523898,1.01936098,198999262.421882,2.722417,12550.7,249849720.0,197.2
2010-07-01,144.991,9.4,18133.66667,0.632305068442718,0.84675907,199105074.427268,2.722417,12588.7,249849720.0,195.6
2010-08-01,143.916,9.5,18133.66667,0.4302059340372199,0.65616389,199360082.210574,2.722417,12652.9,249849720.0,194.1
2010-09-01,143.019,9.5,18133.66667,1.53627227687154,0.57706775,199591386.883824,2.722417,12673.4,249849720.0,193.9
2010-10-01,142.531,9.4,18189.66667,1.1260905710720202,0.40880525,199860409.9584,2.722417,12723.6,249849720.0,193.8
2010-11-01,142.173,9.8,18189.66667,1.31829898066591,0.33888956,199933840.025682,2.722417,12765.5,249849720.0,193.6
2010-12-01,142.06,9.3,18189.66667,1.393380280754,0.62620927,199961557.434899,2.722417,12873.1,249849720.0,194.2
2011-01-01,141.52100000000002,9.1,18113.66667,2.27322625990496,0.86397716,199070588.283022,2.8525,13080.7,252208133.0,195.9
2011-02-01,140.35,9.0,18113.66667,2.8169688979258902,0.82968718,199328475.322804,2.8525,13155.6,252208133.0,198.1
2011-03-01,139.981,9.0,18113.66667,1.74418998266395,0.87385088,199524091.216163,2.8525,13178.2,252208133.0,199.7
2011-04-01,140.01,9.1,18203.33333,2.24921919600376,0.97750283,199950702.45863,2.8525,13212.8,252208133.0,201.1
2011-05-01,139.905,9.0,18203.33333,2.3058155396239,0.71147484,200048232.572712,2.8525,13239.1,252208133.0,201.6
2011-06-01,139.862,9.1,18203.33333,1.92672807632472,0.49226699,199917201.43496,2.8525,13295.7,252208133.0,201.9
2011-07-01,139.73,9.0,18160.66667,2.5370313756665,0.57395235,200019712.799292,2.8525,13375.8,252208133.0,202.6
2011-08-01,139.309,9.0,18160.66667,3.1779707716990093,0.39497491,200121131.328388,2.8525,13400.3,252208133.0,202.8
2011-09-01,138.668,9.0,18160.66667,2.49197707942446,0.21493888,200261981.843865,2.8525,13401.5,252208133.0,202.7
2011-10-01,137.952,8.8,18326.33333,2.02226514469577,0.09856249,200456315.211364,2.8525,13406.4,252208133.0,202.7
2011-11-01,137.15200000000002,8.6,18326.33333,1.84701379887522,0.13706953,200414593.178849,2.8525,13419.7,252208133.0,202.2
2011-12-01,136.674,8.5,18326.33333,2.37433305779156,0.14446831,200418323.18193,2.8525,13548.9,252208133.0,202.2
2012-01-01,136.607,8.3,18447.33333,3.19808928450254,0.14610051,201012879.326228,2.773583333,13631.6,254614421.0,203.9
2012-02-01,136.533,8.3,18447.33333,1.6845519133678302,0.02185103,201108274.046387,2.773583333,13731.1,254614421.0,205.1
2012-03-01,137.904,8.2,18447.33333,2.42029632056173,0.16923691,201199800.545114,2.773583333,13798.5,254614421.0,205.7
2012-04-01,139.154,8.2,18496.66667,2.2851338427891696,0.19464573,201473874.824689,2.773583333,13868.1,254614421.0,206.3
2012-05-01,140.155,8.2,18496.66667,1.7320720722101297,-0.08722198,201512387.169875,2.773583333,13850.3,254614421.0,206.5
2012-06-01,141.029,8.2,18496.66667,1.92206327761144,-0.04815105,201442085.960376,2.773583333,13837.1,254614421.0,206.6
2012-07-01,141.66899999999998,8.2,18484.66667,2.08371119432122,-0.05482603,201434361.59993,2.773583333,13752.9,254614421.0,206.2
2012-08-01,142.279,8.1,18484.66667,2.4238660191344503,-0.06008478,201503946.658442,2.773583333,13768.5,254614421.0,205.5
